,Date,Country,Cnf_cases,Total_cases,N,N_squared
0,30-01-2020,India,1.0,1.0,1.0,1.0
1,31-01-2020,India,0.0,1.0,1.0,1.0
2,01-02-2020,India,0.0,1.0,1.0,1.0
3,02-02-2020,India,1.0,2.0,2.0,4.0
4,03-02-2020,India,1.0,3.0,3.0,9.0
5,04-02-2020,India,0.0,3.0,3.0,9.0
6,05-02-2020,India,0.0,3.0,3.0,9.0
7,06-02-2020,India,0.0,3.0,3.0,9.0
8,07-02-2020,India,0.0,3.0,3.0,9.0
9,08-02-2020,India,0.0,3.0,3.0,9.0
10,09-02-2020,India,0.0,3.0,3.0,9.0
11,10-02-2020,India,0.0,3.0,3.0,9.0
12,11-02-2020,India,0.0,3.0,3.0,9.0
13,12-02-2020,India,0.0,3.0,3.0,9.0
14,13-02-2020,India,0.0,3.0,3.0,9.0
15,14-02-2020,India,0.0,3.0,3.0,9.0
16,15-02-2020,India,0.0,3.0,3.0,9.0
17,16-02-2020,India,0.0,3.0,3.0,9.0
18,17-02-2020,India,0.0,3.0,3.0,9.0
19,18-02-2020,India,0.0,3.0,3.0,9.0
20,19-02-2020,India,0.0,3.0,3.0,9.0
21,20-02-2020,India,0.0,3.0,3.0,9.0
22,21-02-2020,India,0.0,3.0,3.0,9.0
23,22-02-2020,India,0.0,3.0,3.0,9.0
24,23-02-2020,India,0.0,3.0,3.0,9.0
25,24-02-2020,India,0.0,3.0,3.0,9.0
26,25-02-2020,India,0.0,3.0,3.0,9.0
27,26-02-2020,India,0.0,3.0,3.0,9.0
28,27-02-2020,India,0.0,3.0,3.0,9.0
29,28-02-2020,India,0.0,3.0,3.0,9.0
30,29-02-2020,India,0.0,3.0,3.0,9.0
31,01-03-2020,India,0.0,3.0,3.0,9.0
32,02-03-2020,India,2.0,5.0,5.0,25.0
33,03-03-2020,India,1.0,6.0,6.0,36.0
34,04-03-2020,India,22.0,28.0,28.0,784.0
35,05-03-2020,India,2.0,30.0,30.0,900.0
36,06-03-2020,India,1.0,31.0,31.0,961.0
37,07-03-2020,India,3.0,34.0,34.0,1156.0
38,08-03-2020,India,5.0,39.0,39.0,1521.0
39,09-03-2020,India,9.0,48.0,48.0,2304.0
40,10-03-2020,India,15.0,63.0,63.0,3969.0
41,11-03-2020,India,8.0,71.0,71.0,5041.0
42,12-03-2020,India,10.0,81.0,81.0,6561.0
43,13-03-2020,India,10.0,91.0,91.0,8281.0
44,14-03-2020,India,11.0,102.0,102.0,10404.0
45,15-03-2020,India,10.0,112.0,112.0,12544.0
46,16-03-2020,India,14.0,126.0,126.0,15876.0
47,17-03-2020,India,20.0,146.0,146.0,21316.0
48,18-03-2020,India,25.0,171.0,171.0,29241.0
49,19-03-2020,India,27.0,198.0,198.0,39204.0
50,20-03-2020,India,58.0,256.0,256.0,65536.0
51,21-03-2020,India,78.0,334.0,334.0,111556.0
52,22-03-2020,India,69.0,403.0,403.0,162409.0
53,23-03-2020,India,94.0,497.0,497.0,247009.0
54,24-03-2020,India,74.0,571.0,571.0,326041.0
55,25-03-2020,India,86.0,657.0,657.0,431649.0
56,26-03-2020,India,73.0,730.0,730.0,532900.0
57,27-03-2020,India,153.0,883.0,883.0,779689.0
58,28-03-2020,India,136.0,1019.0,1019.0,1038361.0
59,29-03-2020,India,120.0,1139.0,1139.0,1297321.0
60,30-03-2020,India,187.0,1326.0,1326.0,1758276.0
61,31-03-2020,India,309.0,1635.0,1635.0,2673225.0
62,01-04-2020,India,424.0,2059.0,2059.0,4239481.0
63,02-04-2020,India,486.0,2545.0,2545.0,6477025.0
64,03-04-2020,India,560.0,3105.0,3105.0,9641025.0
65,04-04-2020,India,579.0,3684.0,3684.0,13571856.0
66,05-04-2020,India,609.0,4293.0,4293.0,18429849.0
67,06-04-2020,India,484.0,4777.0,4777.0,22819729.0
68,07-04-2020,India,573.0,5350.0,5350.0,28622500.0
69,08-04-2020,India,565.0,5915.0,5915.0,34987225.0
70,09-04-2020,India,813.0,6728.0,6728.0,45265984.0
71,10-04-2020,India,871.0,7599.0,7599.0,57744801.0
72,11-04-2020,India,854.0,8453.0,8453.0,71453209.0
73,12-04-2020,India,758.0,9211.0,9211.0,84842521.0
74,13-04-2020,India,1243.0,10454.0,10454.0,109286116.0
75,14-04-2020,India,1031.0,11485.0,11485.0,131905225.0
76,15-04-2020,India,886.0,12371.0,12371.0,153041641.0
77,16-04-2020,India,1061.0,13432.0,13432.0,180418624.0
78,17-04-2020,India,922.0,14354.0,14354.0,206037316.0
79,18-04-2020,India,1371.0,15725.0,15725.0,247275625.0
80,19-04-2020,India,1580.0,17305.0,17305.0,299463025.0
81,20-04-2020,India,1239.0,18544.0,18544.0,343879936.0
82,21-04-2020,India,1537.0,20081.0,20081.0,403246561.0
83,22-04-2020,India,1292.0,21373.0,21373.0,456805129.0
84,23-04-2020,India,1667.0,23040.0,23040.0,530841600.0
85,24-04-2020,India,1408.0,24448.0,24448.0,597704704.0
86,25-04-2020,India,1835.0,26283.0,26283.0,690796089.0
87,26-04-2020,India,1607.0,27890.0,27890.0,777852100.0
88,27-04-2020,India,1568.0,29458.0,29458.0,867773764.0
89,28-04-2020,India,1902.0,31360.0,31360.0,983449600.0
90,29-04-2020,India,1705.0,33065.0,33065.0,1093294225.0
91,30-04-2020,India,1802.0,34867.0,34867.0,1215707689.0
92,01-05-2020,India,2396.0,37263.0,37263.0,1388531169.0
93,02-05-2020,India,2564.0,39827.0,39827.0,1586189929.0
94,03-05-2020,India,2952.0,42779.0,42779.0,1830042841.0
95,04-05-2020,India,3656.0,46435.0,46435.0,2156209225.0
96,05-05-2020,India,2971.0,49406.0,49406.0,2440952836.0
97,06-05-2020,India,3602.0,53008.0,53008.0,2809848064.0
98,07-05-2020,India,3344.0,56352.0,56352.0,3175547904.0
99,08-05-2020,India,3339.0,59691.0,59691.0,3563015481.0
100,09-05-2020,India,3175.0,62866.0,62866.0,3952133956.0
101,10-05-2020,India,4311.0,67177.0,67177.0,4512749329.0
102,11-05-2020,India,3592.0,70769.0,70769.0,5008251361.0
103,12-05-2020,India,3562.0,74331.0,74331.0,5525097561.0
104,13-05-2020,India,3726.0,78057.0,78057.0,6092895249.0
105,14-05-2020,India,3991.0,82048.0,82048.0,6731874304.0
106,15-05-2020,India,3808.0,85856.0,85856.0,7371252736.0
107,16-05-2020,India,4794.0,90650.0,90650.0,8217422500.0
108,17-05-2020,India,5049.0,95699.0,95699.0,9158298601.0
109,18-05-2020,India,4628.0,100327.0,100327.0,10065506929.0
110,19-05-2020,India,6154.0,106481.0,106481.0,11338203361.0
111,20-05-2020,India,5720.0,112201.0,112201.0,12589064401.0
112,21-05-2020,India,6023.0,118224.0,118224.0,13976914176.0
113,22-05-2020,India,6536.0,124760.0,124760.0,15565057600.0
114,23-05-2020,India,6665.0,131425.0,131425.0,17272530625.0
115,24-05-2020,India,7111.0,138536.0,138536.0,19192223296.0
116,25-05-2020,India,6414.0,144950.0,144950.0,21010502500.0
117,26-05-2020,India,5907.0,150857.0,150857.0,22757834449.0
118,27-05-2020,India,7246.0,158103.0,158103.0,24996558609.0
119,28-05-2020,India,7254.0,165357.0,165357.0,27342937449.0
120,29-05-2020,India,8138.0,173495.0,173495.0,30100515025.0
121,30-05-2020,India,8364.0,181859.0,181859.0,33072695881.0
122,31-05-2020,India,8789.0,190648.0,190648.0,36346659904.0
123,01-06-2020,India,7723.0,198371.0,198371.0,39351053641.0
124,02-06-2020,India,8815.0,207186.0,207186.0,42926038596.0
125,03-06-2020,India,9689.0,216875.0,216875.0,47034765625.0
126,04-06-2020,India,9847.0,226722.0,226722.0,51402865284.0
127,05-06-2020,India,9472.0,236194.0,236194.0,55787605636.0
128,06-06-2020,India,10408.0,246602.0,246602.0,60812546404.0
129,07-06-2020,India,10882.0,257484.0,257484.0,66298010256.0
130,08-06-2020,India,8536.0,266020.0,266020.0,70766640400.0
131,09-06-2020,India,9981.0,276001.0,276001.0,76176552001.0
132,10-06-2020,India,11156.0,287157.0,287157.0,82459142649.0
133,11-06-2020,India,11128.0,298285.0,298285.0,88973941225.0
134,,,,,,
135,,,,,,
