Sno,Date,Country,Cnf_cases,Total_cases
1,30-01-2020,India,1,1
2,31-01-2020,India,0,1
3,01-02-2020,India,0,1
4,02-02-2020,India,1,2
5,03-02-2020,India,1,3
6,04-02-2020,India,0,3
7,05-02-2020,India,0,3
8,06-02-2020,India,0,3
9,07-02-2020,India,0,3
10,08-02-2020,India,0,3
11,09-02-2020,India,0,3
12,10-02-2020,India,0,3
13,11-02-2020,India,0,3
14,12-02-2020,India,0,3
15,13-02-2020,India,0,3
16,14-02-2020,India,0,3
17,15-02-2020,India,0,3
18,16-02-2020,India,0,3
19,17-02-2020,India,0,3
20,18-02-2020,India,0,3
21,19-02-2020,India,0,3
22,20-02-2020,India,0,3
23,21-02-2020,India,0,3
24,22-02-2020,India,0,3
25,23-02-2020,India,0,3
26,24-02-2020,India,0,3
27,25-02-2020,India,0,3
28,26-02-2020,India,0,3
29,27-02-2020,India,0,3
30,28-02-2020,India,0,3
31,29-02-2020,India,0,3
32,01-03-2020,India,0,3
33,02-03-2020,India,2,5
34,03-03-2020,India,1,6
35,04-03-2020,India,22,28
36,05-03-2020,India,2,30
37,06-03-2020,India,1,31
38,07-03-2020,India,3,34
39,08-03-2020,India,5,39
40,09-03-2020,India,9,48
41,10-03-2020,India,15,63
42,11-03-2020,India,8,71
43,12-03-2020,India,10,81
44,13-03-2020,India,10,91
45,14-03-2020,India,11,102
46,15-03-2020,India,10,112
47,16-03-2020,India,14,126
48,17-03-2020,India,20,146
49,18-03-2020,India,25,171
50,19-03-2020,India,27,198
51,20-03-2020,India,58,256
52,21-03-2020,India,78,334
53,22-03-2020,India,69,403
54,23-03-2020,India,94,497
55,24-03-2020,India,74,571
56,25-03-2020,India,86,657
57,26-03-2020,India,73,730
58,27-03-2020,India,153,883
59,28-03-2020,India,136,1019
60,29-03-2020,India,120,1139
61,30-03-2020,India,187,1326
62,31-03-2020,India,309,1635
63,01-04-2020,India,424,2059
64,02-04-2020,India,486,2545
65,03-04-2020,India,560,3105
66,04-04-2020,India,579,3684
67,05-04-2020,India,609,4293
68,06-04-2020,India,484,4777
69,07-04-2020,India,573,5350
70,08-04-2020,India,565,5915
71,09-04-2020,India,813,6728
72,10-04-2020,India,871,7599
73,11-04-2020,India,854,8453
74,12-04-2020,India,758,9211
75,13-04-2020,India,1243,10454
76,14-04-2020,India,1031,11485
77,15-04-2020,India,886,12371
78,16-04-2020,India,1061,13432
79,17-04-2020,India,922,14354
80,18-04-2020,India,1371,15725
81,19-04-2020,India,1580,17305
82,20-04-2020,India,1239,18544
83,21-04-2020,India,1537,20081
84,22-04-2020,India,1292,21373
85,23-04-2020,India,1667,23040
86,24-04-2020,India,1408,24448
87,25-04-2020,India,1835,26283
88,26-04-2020,India,1607,27890
89,27-04-2020,India,1568,29458
90,28-04-2020,India,1902,31360
91,29-04-2020,India,1705,33065
92,30-04-2020,India,1802,34867
93,01-05-2020,India,2396,37263
94,02-05-2020,India,2564,39827
95,03-05-2020,India,2952,42779
96,04-05-2020,India,3656,46435
97,05-05-2020,India,2971,49406
98,06-05-2020,India,3602,53008
99,07-05-2020,India,3344,56352
100,08-05-2020,India,3339,59691
101,09-05-2020,India,3175,62866
102,10-05-2020,India,4311,67177
103,11-05-2020,India,3592,70769
104,12-05-2020,India,3562,74331
105,13-05-2020,India,3726,78057
106,14-05-2020,India,3991,82048
107,15-05-2020,India,3808,85856
108,16-05-2020,India,4794,90650
109,17-05-2020,India,5049,95699
110,18-05-2020,India,4628,100327
111,19-05-2020,India,6154,106481
112,20-05-2020,India,5720,112201
113,21-05-2020,India,6023,118224
114,22-05-2020,India,6536,124760
115,23-05-2020,India,6665,131425
116,24-05-2020,India,7111,138536
117,25-05-2020,India,6414,144950
118,26-05-2020,India,5907,150857
119,27-05-2020,India,7246,158103
120,28-05-2020,India,7254,165357
121,29-05-2020,India,8138,173495
122,30-05-2020,India,8364,181859
123,31-05-2020,India,8789,190648
124,01-06-2020,India,7723,198371
125,02-06-2020,India,8815,207186
126,03-06-2020,India,9689,216875
127,04-06-2020,India,9847,226722
128,05-06-2020,India,9472,236194
129,06-06-2020,India,10408,246602
130,07-06-2020,India,10882,257484
131,08-06-2020,India,8536,266020
132,09-06-2020,India,9981,276001
133,10-06-2020,India,11156,287157
134,11-06-2020,India,11128,298285
,,,,
,,,,
